time,EURUSD,GBPUSD,EURAUD
2018-04-27 03:00:00+00:00,1.207145,1.38205,1.59942
2018-04-27 09:00:00+00:00,1.210135,1.37955,1.598995
2018-04-27 15:00:00+00:00,1.21303,1.3781,1.59995
2018-04-29 21:00:00+00:00,1.21277,1.37776,1.60392
2018-04-30 03:00:00+00:00,1.210405,1.373355,1.604065
2018-04-30 09:00:00+00:00,1.2082,1.377545,1.600645
2018-04-30 15:00:00+00:00,1.207905,1.37635,1.604335
2018-04-30 21:00:00+00:00,1.2076,1.37598,1.60133
2018-05-01 03:00:00+00:00,1.20339,1.36833,1.60242
2018-05-01 09:00:00+00:00,1.19917,1.35964,1.603175
2018-05-01 15:00:00+00:00,1.199205,1.361455,1.600955
2018-05-01 21:00:00+00:00,1.20065,1.361265,1.600805
2018-05-02 03:00:00+00:00,1.199935,1.364235,1.596505
2018-05-02 09:00:00+00:00,1.195685,1.35999,1.595035
2018-05-02 15:00:00+00:00,1.195055,1.35736,1.59505
2018-05-02 21:00:00+00:00,1.19785,1.359395,1.59339
2018-05-03 03:00:00+00:00,1.198535,1.35863,1.59327
2018-05-03 09:00:00+00:00,1.19507,1.35402,1.592895
2018-05-03 15:00:00+00:00,1.19889,1.35767,1.59169
2018-05-03 21:00:00+00:00,1.19892,1.35779,1.588605
2018-05-04 03:00:00+00:00,1.19629,1.35465,1.59114
2018-05-04 09:00:00+00:00,1.192865,1.35163,1.585655
2018-05-04 15:00:00+00:00,1.19619,1.35295,1.58658
2018-05-06 21:00:00+00:00,1.19726,1.35571,1.587855
2018-05-07 03:00:00+00:00,1.193115,1.35367,1.588355
2018-05-07 09:00:00+00:00,1.191305,1.356715,1.58415
2018-05-07 15:00:00+00:00,1.19228,1.35556,1.58607
2018-05-07 21:00:00+00:00,1.1925,1.35637,1.589045
2018-05-08 03:00:00+00:00,1.188855,1.350865,1.591165
2018-05-08 09:00:00+00:00,1.185335,1.35167,1.591565
2018-05-08 15:00:00+00:00,1.186435,1.354775,1.59179
2018-05-08 21:00:00+00:00,1.18538,1.35346,1.594015
2018-05-09 03:00:00+00:00,1.18564,1.354805,1.593235
